# 注意: 新規追加の場合はidを空欄にしてください。
id,name,totalPayments,startDate,amountPerPayment,totalAmount
,"iPhone 15 Pro Max",24,2024-06,7500,180000
,"MacBook Air M3",36,2024-09,5000,180000
,"PlayStation 5",12,2025-01,5500,66000
,"Nintendo Switch OLED",6,2025-03,6000,36000
,"Apple Watch Ultra 2",12,2024-11,8500,102000
,"iPad Pro 12.9インチ",18,2024-12,9000,162000
,"Sony WH-1000XM5 ヘッドホン",3,2025-06,15000,45000
,"ダイソン掃除機 V15",10,2025-02,8000,80000
,"LG 有機ELテレビ 55インチ",24,2024-08,10000,240000
,"パナソニック冷蔵庫",36,2024-07,5500,198000
,"ドラム式洗濯機",24,2025-01,6250,150000
,"エアコン（リビング用）",18,2024-10,7000,126000
,"ロードバイク",12,2025-04,12500,150000
,"カメラ Sony α7IV",24,2024-05,8750,210000
,"脱毛サロン契約",10,2025-02,15000,150000
