支出
支払日,項目名,金額,,,
10/26,Amazon,"9,956",TRUE,"9,956",
10/27,楽天1,"44,941",TRUE,"54,897",
10/27,楽天2,"28,571",TRUE,"83,468",
10/27,PayPay,"29,754",TRUE,"113,222",
10/27,エポス,"66,680",TRUE,"179,902",
10/27,メルペイ,"1,273",TRUE,"181,175",
10/27,ペイディ1,"3,328",TRUE,"184,503",
10/27,ペイディ2,"6,114",TRUE,"190,617",
10/27,オークス,"7,500",TRUE,"198,117",
10/27,レイク(smbc),"4,000",TRUE,"202,117",
10/27,学費,"267,900",TRUE,"470,017",←
10/27,アイフル(ライフ),0,FALSE,"470,017",
11/6,アコム,"5,000",TRUE,"475,017",
11/1,家賃,"42,000",TRUE,"517,017",
11/14,車,"5,080",TRUE,"522,097",
11/15,電気,"4,218",TRUE,"526,315",
11/15,ガス,"1,544",TRUE,"527,859",
,水道,,FALSE,"527,859",
,,,FALSE,"527,859",
,合計,"527,859",,,

収入,,,,
,項目名,金額,,,
,なご,"20,000",,"20,000",
,父,"270,000",,"290,000",
,アコム,"96,000",,"386,000",
,アイフル,"40,000",,"426,000",
10/15,optim,"67,164",,"493,164",←
10/31,fan-mily,"60,025",,"553,189",
10/31,奨学金,"50,000",,"603,189",
,合計,"603,189",,,
,あと,"75,330",,,
