支出
支払日,項目名,金額,支払済み
10/26,Amazon,9956,TRUE
10/27,楽天1,44941,TRUE
10/27,楽天2,28571,TRUE
10/27,PayPay,29754,TRUE
10/27,エポス,66680,TRUE
10/27,メルペイ,1273,TRUE
10/27,ペイディ1,3328,TRUE
10/27,ペイディ2,6114,TRUE
10/27,オークス,7500,TRUE
10/27,レイク(smbc),4000,TRUE
10/27,学費,267900,TRUE
10/27,アイフル(ライフ),0,FALSE
11/6,アコム,5000,TRUE
11/1,家賃,42000,TRUE
11/14,車,5080,TRUE
11/15,電気,4218,TRUE
11/15,ガス,1544,TRUE
,水道,,FALSE
,合計,527859,

収入
日付,項目名,金額
,なご,20000
,父,270000
,アコム,96000
,アイフル,40000
10/15,optim,67164
10/31,fan-mily,60025
10/31,奨学金,50000
,合計,603189
